title,document_type,field,intended_author,usable_for_generation,authority_level,issuing_authority,source_url,publish_date,retrieved_at,local_path,source_status,notes
2025年示范文本：侮辱案,侮辱案刑事（附带民事）自诉状/答辩状,criminal,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/criminal/2025-67-01-侮辱案.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：诽谤案刑事（附带民事）.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：诽谤案,诽谤案刑事（附带民事）自诉状/答辩状,criminal,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/criminal/2025-67-02-诽谤案.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：诽谤案刑事（附带民事）.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：重婚案,重婚案刑事（附带民事）自诉状/答辩状,criminal,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/criminal/2025-67-03-重婚案.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：重婚案刑事（附带民事）.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：拒不执行判决、裁定案,拒不执行判决、裁定案刑事（附带民事）自诉状/答辩状,criminal,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/criminal/2025-67-04-拒不执行判决-裁定案.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：拒不执行判决、裁定案刑事（附带民事）.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：离婚纠纷,离婚纠纷起诉状/答辩状,family,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/family/2025-67-05-离婚纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：离婚纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：民间借贷纠纷,民间借贷纠纷起诉状/答辩状,civil,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/civil/2025-67-06-民间借贷纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：民间借贷纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：金融借款合同纠纷,金融借款合同纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-07-金融借款合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：金融借款合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：买卖合同纠纷,买卖合同纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-08-买卖合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：买卖合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：劳动争议纠纷,劳动争议纠纷起诉状/答辩状,labor,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/labor/2025-67-09-劳动争议纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：劳动争议纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：机动车交通事故责任纠纷,机动车交通事故责任纠纷起诉状/答辩状,tort,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/tort/2025-67-10-机动车交通事故责任纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：机动车交通事故责任纠.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：信用卡纠纷,信用卡纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-11-信用卡纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：信用卡纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：物业服务合同纠纷,物业服务合同纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-12-物业服务合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：物业服务合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：财产损失保险合同纠纷,财产损失保险合同纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-13-财产损失保险合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：财产损失保险合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：证券虚假陈述责任纠纷,证券虚假陈述责任纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-14-证券虚假陈述责任纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：证券虚假陈述责任纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：保证保险合同纠纷,保证保险合同纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-15-保证保险合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：保证保险合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：融资租赁合同纠纷,融资租赁合同纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-16-融资租赁合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：融资租赁合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：房屋买卖合同纠纷,房屋买卖合同纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-17-房屋买卖合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：房屋买卖合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：房屋租赁合同纠纷,房屋租赁合同纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-18-房屋租赁合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：房屋租赁合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：建设工程施工合同纠纷,建设工程施工合同纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-19-建设工程施工合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：建设工程施工合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：人身保险合同纠纷,人身保险合同纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-20-人身保险合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：人身保险合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：责任保险合同纠纷,责任保险合同纠纷起诉状/答辩状,commercial,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/commercial/2025-67-21-责任保险合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：责任保险合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：侵害著作权及邻接权纠纷,侵害著作权及邻接权纠纷起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-22-侵害著作权及邻接权纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：侵害著作权及邻接权纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：侵害商标权纠纷,侵害商标权纠纷起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-23-侵害商标权纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：侵害商标权纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：侵害发明专利权纠纷,侵害发明专利权纠纷起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-24-侵害发明专利权纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：侵害发明专利权纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：侵害外观设计专利权纠纷,侵害外观设计专利权纠纷起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-25-侵害外观设计专利权纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：侵害外观设计专利权纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：侵害植物新品种权纠纷,侵害植物新品种权纠纷起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-26-侵害植物新品种权纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：侵害植物新品种权纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：侵害商业秘密纠纷,侵害商业秘密纠纷起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-27-侵害商业秘密纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：侵害商业秘密纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：技术合同纠纷,技术合同纠纷起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-28-技术合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：技术合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：不正当竞争纠纷,不正当竞争纠纷起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-29-不正当竞争纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：不正当竞争纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：垄断纠纷,垄断纠纷起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-30-垄断纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：垄断纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：商标申请驳回复审纠纷,商标申请驳回复审纠纷行政起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-31-商标申请驳回复审纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：商标申请驳回复审纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：商标撤销复审行政纠纷,商标撤销复审行政纠纷行政起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-32-商标撤销复审行政纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：商标撤销复审行政纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：商标无效行政纠纷,商标无效行政纠纷行政起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-33-商标无效行政纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：商标无效行政纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：专利申请驳回复审行政纠纷,专利申请驳回复审行政纠纷行政起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-34-专利申请驳回复审行政纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：专利申请驳回复审行政纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：专利无效行政纠纷,专利无效行政纠纷行政起诉状/答辩状,ip,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/ip/2025-67-35-专利无效行政纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：专利无效行政纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：船舶碰撞损害责任纠纷,船舶碰撞损害责任纠纷起诉状/答辩状,maritime,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/maritime/2025-67-36-船舶碰撞损害责任纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：船舶碰撞损害责任纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：船员劳务合同纠纷,船员劳务合同纠纷起诉状/答辩状,maritime,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/maritime/2025-67-37-船员劳务合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：船员劳务合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：海上、通海水域货运代理合同纠纷,海上、通海水域货运代理合同纠纷起诉状/答辩状,maritime,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/maritime/2025-67-38-海上-通海水域货运代理合同纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：海上、通海水域货运代理合同纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：海上、通海水域人身损害责任纠纷,海上、通海水域人身损害责任纠纷起诉状/答辩状,maritime,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/maritime/2025-67-39-海上-通海水域人身损害责任纠纷.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：海上、通海水域人身损害责任纠纷.doc。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：行政处罚,行政处罚行政起诉状/答辩状,administrative,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/administrative/2025-67-40-行政处罚.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：行政处罚.docx。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
2025年示范文本：行政强制执行,行政强制执行行政起诉状/答辩状,administrative,party,false,C,平原县人民法院（转载最高法、司法部、中华全国律师协会示范文本）,https://www.sdcourt.gov.cn/dzpyfy/393147/393148/393150/43509906/index.html,2025-08-26,2026-05-02,skills/legal-document-drafting/assets/official_reference_only/administrative/2025-67-41-行政强制执行.md,official_reference_only,转载最高法、司法部、全国律协示范文本；附件名：行政强制执行.docx。当前本地 curl/Python 下载尝试出现 TLS SSL_ERROR_SYSCALL/EOF，未取得正文，不作为正式生成模板。
