sequence,field,case_type,document_name,blank_template_url,example_template_url,source_page_url,download_status,local_blank_path,local_example_path,failure_reason,notes
11,commercial,信用卡纠纷,信用卡纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-11-信用卡纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-11-信用卡纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
12,commercial,物业服务合同纠纷,物业服务合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-12-物业服务合同纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-12-物业服务合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
13,commercial,财产损失保险合同纠纷,财产损失保险合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-13-财产损失保险合同纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-13-财产损失保险合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
14,commercial,证券虚假陈述责任纠纷,证券虚假陈述责任纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-14-证券虚假陈述责任纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-14-证券虚假陈述责任纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
15,commercial,保证保险合同纠纷,保证保险合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-15-保证保险合同纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-15-保证保险合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
16,commercial,融资租赁合同纠纷,融资租赁合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-16-融资租赁合同纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-16-融资租赁合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
17,commercial,房屋买卖合同纠纷,房屋买卖合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-17-房屋买卖合同纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-17-房屋买卖合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
18,commercial,房屋租赁合同纠纷,房屋租赁合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-18-房屋租赁合同纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-18-房屋租赁合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
19,commercial,建设工程施工合同纠纷,建设工程施工合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-19-建设工程施工合同纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-19-建设工程施工合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
20,commercial,人身保险合同纠纷,人身保险合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-20-人身保险合同纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-20-人身保险合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
21,commercial,责任保险合同纠纷,责任保险合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-21-责任保险合同纠纷.md,skills/legal-document-drafting/assets/official_templates/commercial/2025-67-21-责任保险合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
22,ip,侵害著作权及邻接权纠纷,侵害著作权及邻接权纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-22-侵害著作权及邻接权纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-22-侵害著作权及邻接权纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
23,ip,侵害商标权纠纷,侵害商标权纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-23-侵害商标权纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-23-侵害商标权纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
24,ip,侵害发明专利权纠纷,侵害发明专利权纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-24-侵害发明专利权纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-24-侵害发明专利权纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
25,ip,侵害外观设计专利权纠纷,侵害外观设计专利权纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-25-侵害外观设计专利权纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-25-侵害外观设计专利权纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
26,ip,侵害植物新品种权纠纷,侵害植物新品种权纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-26-侵害植物新品种权纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-26-侵害植物新品种权纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
27,ip,侵害商业秘密纠纷,侵害商业秘密纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-27-侵害商业秘密纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-27-侵害商业秘密纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
28,ip,技术合同纠纷,技术合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-28-技术合同纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-28-技术合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
29,ip,不正当竞争纠纷,不正当竞争纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-29-不正当竞争纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-29-不正当竞争纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
30,ip,垄断纠纷,垄断纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-30-垄断纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-30-垄断纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
31,ip,商标申请驳回复审纠纷,商标申请驳回复审纠纷行政起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-31-商标申请驳回复审纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-31-商标申请驳回复审纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
32,ip,商标撤销复审行政纠纷,商标撤销复审行政纠纷行政起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-32-商标撤销复审行政纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-32-商标撤销复审行政纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
33,ip,商标无效行政纠纷,商标无效行政纠纷行政起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-33-商标无效行政纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-33-商标无效行政纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
34,ip,专利申请驳回复审行政纠纷,专利申请驳回复审行政纠纷行政起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-34-专利申请驳回复审行政纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-34-专利申请驳回复审行政纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
35,ip,专利无效行政纠纷,专利无效行政纠纷行政起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/ip/2025-67-35-专利无效行政纠纷.md,skills/legal-document-drafting/assets/official_templates/ip/2025-67-35-专利无效行政纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
36,maritime,船舶碰撞损害责任纠纷,船舶碰撞损害责任纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/maritime/2025-67-36-船舶碰撞损害责任纠纷.md,skills/legal-document-drafting/assets/official_templates/maritime/2025-67-36-船舶碰撞损害责任纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
37,maritime,船员劳务合同纠纷,船员劳务合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/maritime/2025-67-37-船员劳务合同纠纷.md,skills/legal-document-drafting/assets/official_templates/maritime/2025-67-37-船员劳务合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
38,maritime,海上、通海水域货运代理合同纠纷,海上、通海水域货运代理合同纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/maritime/2025-67-38-海上-通海水域货运代理合同纠纷.md,skills/legal-document-drafting/assets/official_templates/maritime/2025-67-38-海上-通海水域货运代理合同纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
39,maritime,海上、通海水域人身损害责任纠纷,海上、通海水域人身损害责任纠纷起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/maritime/2025-67-39-海上-通海水域人身损害责任纠纷.md,skills/legal-document-drafting/assets/official_templates/maritime/2025-67-39-海上-通海水域人身损害责任纠纷.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
40,administrative,行政处罚,行政处罚行政起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/administrative/2025-67-40-行政处罚.md,skills/legal-document-drafting/assets/official_templates/administrative/2025-67-40-行政处罚.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
41,administrative,行政强制执行,行政强制执行行政起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/administrative/2025-67-41-行政强制执行.md,skills/legal-document-drafting/assets/official_templates/administrative/2025-67-41-行政强制执行.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
42,administrative,行政许可,行政许可行政起诉状/答辩状,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,https://www.court.gov.cn/fabu/xiangqing/468671.html,downloaded,skills/legal-document-drafting/assets/official_templates/administrative/2025-67-42-行政许可.md,skills/legal-document-drafting/assets/official_templates/administrative/2025-67-42-行政许可.md,,已从用户提供的法〔2025〕82号官方DOCX拆分正文；同一Markdown文件含空白模板和实例；原始DOCX已保留；默认作为传统诉状起草的要素核对表，只有用户明确要求要素式、表格式或按2025示范文本填写时才直接按该形态输出。
